Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.8,3.243435505391542,5.9,2.3,Iris-virginica
2,6.3,3.3,4.7,1.6708036898823595,Iris-versicolor
3,6.884149174574911,3.117596016048837,5.4,2.1,Iris-virginica
4,,3.4,1.9,0.2,Iris-setosa
5,6.1,3.0,4.6,1.4,Iris-versicolor
6,14.036256246390865,5.108209143066838,9.442016681241483,2.9277502653841823,Iris-versicolor
7,6.7,3.1402566519325155,5.6,2.4,Iris-virginica
8,6.647154401959526,2.5,,1.8,Iris-virginica
9,4.9,2.45721608078483,,1.0,Iris-versicolor
10,5.8,2.74587918845627,3.9,1.2,Iris-versicolor
11,4.8,,1.4,0.3,Iris-setosa
12,5.4,3.4,1.5,0.4,Iris-setosa
13,4.8,3.1,1.6620495660727426,0.2,Iris-setosa
14,5.7,4.4,1.5,0.4,Iris-setosa
15,10.74836137515784,6.292399491825982,12.399170265253444,3.91723010668134,Iris-virginica
16,,3.22993056452977,5.7,2.5,Iris-virginica
17,6.8,2.8,4.8,1.4,Iris-versicolor
18,6.6900681320458055,3.0,5.8,2.128995270677255,Iris-virginica
19,5.212716950807753,3.8,1.6,0.3562896682687502,Iris-setosa
20,5.5,2.4,3.8,1.0265691762023434,Iris-versicolor
21,4.9,2.5,4.5,1.7,Iris-virginica
22,7.696556683997681,2.6,,2.3,Iris-virginica
23,7.00793272235571,,4.7,1.4,Iris-versicolor
24,5.9,3.0,5.1,1.8,Iris-virginica
25,11.078846368622905,5.129052383216537,8.438076851487121,3.389582190554756,Iris-versicolor
26,14.036256246390865,5.108209143066838,9.442016681241483,2.9277502653841823,Iris-versicolor
27,5.1,3.747495960278569,1.9,0.4,Iris-setosa
28,5.6478196264742495,3.8,1.7,0.3,Iris-virginica
29,6.4,2.9,4.3,1.3,Iris-versicolor
30,5.761596980830939,2.5532650576438014,3.8707762443815086,,Iris-versicolor
31,7.1,2.9411758742391214,5.9,2.1,Iris-versicolor
32,6.0,2.7,5.1,1.6,Iris-versicolor
33,6.3,2.9,5.6,1.8,Iris-virginica
34,7.247086572695933,3.0,5.8,1.6,Iris-virginica
35,4.5,2.3,1.3,0.3,Iris-setosa
36,6.0,2.2,5.0,1.5,Iris-virginica
37,5.5,,3.7,1.0,Iris-versicolor
38,5.507668838081409,2.8,4.9,2.0,Iris-virginica
39,6.4,2.8,5.6,2.1,Iris-versicolor
40,6.9,3.1,4.9,1.5,Iris-versicolor
41,6.3,3.4,5.6,2.4,Iris-virginica
42,5.0,3.6,1.4,0.19932413111533237,Iris-setosa
43,6.7,,5.2,2.3,Iris-virginica
44,5.2,2.7,3.9,1.4,Iris-versicolor
45,7.2991510921847516,5.482048319571935,2.897684311559642,0.4049000683523426,Iris-setosa
46,6.0,2.2,4.0,0.9548118041082907,Iris-versicolor
47,7.7,3.8,6.7,2.2,Iris-setosa
48,5.4,,1.5361115416485407,0.3529477068284743,Iris-setosa
49,7.2,3.2,6.0,1.8003605755404206,Iris-virginica
50,5.9,3.2069945118548344,4.8,1.8,Iris-versicolor
51,6.0,3.4392835299971547,4.5,1.6,Iris-versicolor
52,6.647154401959526,2.5,,1.8,Iris-virginica
53,6.1,2.754181676368811,4.089761657108364,1.2017782971681183,Iris-versicolor
